Name,Address,MOB.No,Alternate Mob,City,email,pincode,State,Branch type
C/F ALKA HERBALCARE,"RAJENDER SINGH C/O 320, VIKAS NAGAR MAIN ROAD, CHANDAUSI, SAMBHAL",9412523643,,SAMBHAL,,202412,UTTAR PRADESH,DISTRICT
HAPPY HEALTH ENTERPRISES,"ASRAF ALI C/O AT NOIMUDDIN,PURBA MATIARI, SHIKARPUR, DALKHOLA, Uttar Dinajpur, West Bengal,GTS NO--19AMOPA6071B1Z8----",6295456073,,DINAJPUR,,733201,WEST BENGAL,DISTRICT
DRISHTI HERBAL POINT,"NAVNEET GUPTA C/O NAI BASTI, BIJNOR",9756338566,,BIJNORE-I,,246701,UTTAR PRADESH,DISTRICT
ADITYA ENTERPRISES,"SARITA RAMASHARE YADAV C/O KOIRIPUR SHIWALA ( TOWN AREA ROAD KOIRIPUR ) LAMUHA SULTANPUR , UTTAR PRADESH=== GST NO === 27ADJPY6947N1ZD",9869771179,,SULTANPUR,,222301,UTTAR PRADESH,DISTRICT
DEV & SONS ENTERPRISES,"DEV TANEJA C/O H.NO. 19, NANDWANI NAGAR, SONIPAT",7422910000,,SONIPAT,,131001,HARYANA,DISTRICT
JASSAL ENTERPRISES,"SHALLY JASSAL W/O GURSIMAN SINGH, EMPLOYEES COLONY , SHAHKOT",8283008661,,SHAHKOT,,144702,PUNJAB,DISTRICT
DEBANKUSH HHI SHOPPE,"BAPI CHATTARAJ C/O RANISAYAER, RANIGANJ, BURDWAN",6296666482,,BURDWAN,,713358,WEST BENGAL,DISTRICT
SHIBANI HHI SHOPEE,"SUMAN GHOSH D/O SAMART KUMAR GHOSH, VILL. - GAZA, PO- DALAPATIPUR, PS- HARIPAL, DISTT. HOOGHLY",9091153161,,HOOGHLY,,712403,WEST BENGAL,DISTRICT
NILANJANA MAITI DUARI,"NILANJANA MAITI DUARI W/O PRASUN KANTI DUARI, MIRCHAK, PASCHIM MEDINIPUR",9609206301,,PASCHIM MEDINIPUR,,721437,WEST BENGAL,DISTRICT
SOVA HAPPY HEALTH INDIA,"TUSHAR KANTI GHOSH C/O DURBA AND PURBA , COMPARTMANT NEAR JATRIK CLUB, PO RADHA NAGAR, DISTT. BARDHMAN",6295972552,,RADHANPUR,,713325,WEST BENGAL,WAREHOUSE
SHIFA HEALTH CARE,"AADIL KHAN S/O SHAMSUDIN ALVI, BHARAT SCHOOL KE PASS, HAMAWADA SHAHJI, BARAN,",9521205772,,BARAN,,325221,RAJASTHAN,DISTRICT
PRADIP SARKAR,"PRADIP SARKAR C/O 250/20/KA, NEAR MAKRAMPUR PETROL PUMP, CITY- BOLPUR, DISTT. BIRBHUM===GST NO===19BADPS1630Q1Z7",8637833025,,BIRBHUM,,731204,WEST BENGAL,DISTRICT
N.S.Enterprise,"SUBRATA SAHA S/O LT KHAGENDRA CHANDRA SAHA, 061810, WARD NO- 14, KRISHAANAGAR BANERJEE PARA, NABAGRAHA MANDIR, SUB DIV- SADAR, AGARTALA ==GST NO==16AUGPS8268L1ZS",7005782169,,AGARTALA,,799001,TRIPURA,DISTRICT
MINTU KUMAR MANDAL,"MINTU KUMAR MANDAL S/O NARAYAN CHANDRA MANDAL , VILL. PASCHIM BEGUNI, PO.- CHAKSHYAMPUR, DISTT. PASHIM MEDINIPUR",9382740214,,PASCHIM MEDINIPUR,,721124,WEST BENGAL,DISTRICT
M/S PRADIP SARKAR,"PRADIP SARKAR C/O 250/20/KA, NEAR MAKRAMPUR PETROL PUMP, CITY- BOLPUR, DISTT. BIRBHUM===GST NO===19BADPS1630Q1Z7",8637833025,,BHIR,,731204,WEST BENGAL,WAREHOUSE
AMANAT GOODS & SERVICES,"AMANDEEP ATTRI S/O SAT PAL, HNO. 233/34, 8 No. Gali, Guru Har Rai Avenue, Majitha Road Amritsar",9914833274,,AMRITSAR,,143001,PUNJAB,DISTRICT
SUBHAM HHI DEPO,"HANUMAN PRASAD AGARWAL, C/O RAY PARA ,WARD NO 3, DIST BARPETA , P.O BAROPETA ROAD ASSAM==GST NO==18AFVPA2199G1Z3",9954260175,,BARPETA ROAD,,781315,ASSAM,DISTRICT
CHANDAN PRAMANIK,CHANDAN PRAMANIK C/O GHASIPUR PURBA MEDINIPUR WEST BENGAL,9474039565,,PURBA MEDINIPUR,,721628,WEST BENGAL,DISTRICT
HHI MADHUMITA ENTERPRISE,INDRAJIT KUMAR ROY C/O SRIBASH NAGAR NEAR MILAN CINEMA HOOGLY CHINSURAH WEST BENGAL,9432228159,,HOOGHLY,,712103,WEST BENGAL,DISTRICT
SARITA RAMASHARE YADAV,"SARITA RAMASHARE YADAV C/O H.-703, GOKUL GALAXY, THAKUR COMPLEX, MUMBAI, KANDIVALI EAST, MUMBAI",9869771179,,MUMBAI,,400101,MAHARASHTRA,DISTRICT
HAPPY HEALTHINDIA SHOPING CENTER,"SHYAMAL CH KHAN C/O J.C KHAN ROAD, MANKUNDU, HOOGLY",8777876162,,HOOGHLY,,712139,WEST BENGAL,DISTRICT
M/S SWASTIK ENTERPRISES,"ARUN KUMAR SAHOO C/O AT- PLOT NO- 229/3950/4056, NEAR SHAKTI GUEST HOUSE AND BUS STAND, AREA - BARAMUNDA, PS- KHANDAGIRI, CITY -BHUBNESHWAR==GST NO==21ADZFS5010Q1ZI",9238329041,,BHUBNESHWAR,,751003,ORISSA,DISTRICT
SARKAR ENTERPRISE,"TANDRA SARKAR , C/O G-1,MADHURI APARTMENT,SHAKTIGARH ROAD NO 1,SILIGURI JALPAI GURI, (WEST BENGAL )===GST NO ===19CDBPS2149Q1ZU",8637833025,,SILIGURI,,734005,WEST BENGAL,DISTRICT
JAI MAA HEALTH CARE CENTRE,"PARDEEP KUMAR S/O DUKHHARAN, RAMDEEN PURBA, DHAMRAIYA KALAN, PO- BAKSAILA, DISTT. GONDA",9648151433,,GONDA,,271401,UTTAR PRADESH,DISTRICT
SAROJ PRASAD,"AAK ENTERPRISES C/O HARIHARPUR, NEAR BENIADANGA RAILGATE, P.O - MALLICKPUR , KOLKATA ,SOUTH 24 PARGANAS",9830062611,,24PGS,,700145,WEST BENGAL,DISTRICT
GHADAI ENTERPRISES,"NANDIKESWAR GHADAI C/O AT/PO- NACHUNI, DISTT. KHURDHA",8249119231,,KHURDA,,752034,ORISSA,DISTRICT
PANDA ENTERPRISES,"SESHARANI PANDA W/O NIROD KUMAR DAS, NARIPUR, BHADRAK RURAL, BHADRAK==GST NO==21BUPPP1782E1ZK",9090740322,,BHADRAK,,756100,ORISSA,DISTRICT
EKTA HHI SHOP,"KAUSHAL KUMAR GAUTAM C/O MOHAN NAGAR COLONY, DHANIPUR ALIGARH",8439339005,,ALIGARH,,202002,UTTAR PRADESH,DISTRICT
NIRMAL SINGH,"NIRMAL SINGH C/O VILL. TUNG, PO+DISTT. GURDASPUR",9417888432,,GURDASPUR,,143521,PUNJAB,DISTRICT
JAY GURU ENTERPRISES,BARUN GHOSH C/O BHOLPUR WEST BANGAL,7001740620,,BARDHAMAN,,143521,WEST BENGAL,DISTRICT
M/S SHREEM ENTERPRISES,"DARSHIT DESAI C/O AT.PO VIA-RANITAL , DIST-BALASOR, BHADRAK G.S.T - NO== 21EQOPD8129K1ZM",7683998800,,BALASORE,,756111,ORISSA,DISTRICT
BISHESWARI ENTERPRISES,"UMA MAJUMDAR C/O AT - MILON POLLY,(BEHIND GOV. QUATER) DISTT -HOOGHLY , WEST BANGAL",9804382824,,HOOGHLY,,712103,WEST BENGAL,WAREHOUSE
CHAMPARAN AYURVEDA,"C/O CHANDA DEVI , ADD - MANJU RESIDENCY- NEAR ZERO MILE BY PASS NRL PETROL PUMP BHAGWAT NAGAR ROAD GANPATI DENTAL OR SUPER MARKET SIDE WALI GALI ,SUGANDH VIHAR COLONY- BHAGWAT NAGAR-PATNA-26==GSTN===10BQIPD2331N1Z8 , FSSAI==10422000000289",7903841738,,PATNA,,800026,BIHAR,WAREHOUSE
M/S KPS ENTERPRISES,"SAROJ KUMAR MUDULI C/O DIAN PALASA NEAR PURUNA BARIPADA PO. ARPATA, KHUNTA,BALASORE, ORISSA === GST NO ===21BBGPM1296N1ZF",9583516669,,KHUNTI,,757083,ORISSA,DISTRICT
JEET ENTERPRISE,"AVIJIT GHOSH S/O SASTHI CHARAN GHOSH , ADDRESS- TINNA, PANDUA, HOOGHLY, WEST BENGAL",9233677562,,HOOGHLY,,712149,WEST BENGAL,DISTRICT
RANA HERBAL POINT,"SHEESH PAL SINGH S/O SHIV CHARAN SINGH , H NO. 1168, VEER NAGAR , MUNNALAL, MAWANA KALAN , MEERUT, UTTAR PRADESH",9690239999,,MEERUT,,250401,UTTAR PRADESH,DISTRICT
SAMIT KUMAR MOHANTY,"SAI ARPAN MULTI MARKET C/O AT/PO- JHARPOKHARIA , DIST- MAYURBHAJ, ODISHA",8917320096,,MAYURBHANJ,,757086,ORISSA,DISTRICT
M/S SATHI ENTERPRISES,"GOUTAM KUMAR DASS C/O NEAR BARSAT, NOPARA,RASBIHARI SCHOOL ROAD KOLKATA",9836646860,,KOLKATA,,700125,WEST BENGAL,DISTRICT
NEHA TRADERS,"MANOJ KUMAR PANDA S/O NARAYAN PANDA, AT-NAGAPATANA,PO- SHRI BALDEV JEW,DIST-KENDRAPARA,ODISHA",7381528833,,KENDRAPARA,,754212,ORISSA,DISTRICT
SRIYA HHI SHOPPING,"GOVINDA RAJU ELLAPU S/O TATA RAO ELLAPU,ADD- D.NO.46-15-32/2, DONDAPARTHI MAIN ROAD, DONDAPARTHI, , VISAKHAPATNAM, ANDHRA PRADESH === GST NO === 37AAMPE0646C1Z2",8019147746,,VISAKHAPATNAM,,530016,ANDHRA PRADESH,DISTRICT
MAA BHAGABATI SHOPPE,"SASANK SEKHAR SAMANTARAY,S/O CHAKRAPANI SAMANTARAY AT/PO-BANPUR DIST-KHURDA, ODISHA",9348208678,,KHURDA,,752030,ORISSA,DISTRICT
SNEHA ENTERPRISES DF,"PRAVANSU KUMAR PUROHIT C/O AT/PO-JULUNDA PS-DUNGURIPALI DIST-SONAPUR,ODISHA",8917432806,,SONAPUR,,767019,ORISSA,DISTRICT
SHREE SHYAM STORE,"ANURADHA SHARMA C/O ADD, N-37,GALI NO.4,VIJAY VIHAR, UTTAM NAGAR, NEW DELHI === GST NO === 07FNIPS9780M1ZT",9650055683,,DELHI TANDA,,110059,NEW DELHI,DISTRICT
W/B SHRI LAXMI ENTERPRISE,"SHIKHA ROY C/O AT- RAMNARAYANPUR, PO- KASHIPUR,PS- MANDIRBAZAR,DIST-SOUTH 24 PARAGNAS,WEST BENGAL",8515932340,,24PGS,,743345,WEST BENGAL,DISTRICT
PALAK AYURVEDA,"AWDHESH KUMAR C/O YADAV COMPLEX CHHAPWA,BETTIAH ROAD,SHRIPUR CHOWK,WEST CHAMPARAN,BIHAR",7277928279,,CHAMPARAN,,845454,BIHAR,DISTRICT
H H I MARKETING PRIVATE LIMTED WB,"RAMU , C/O JYOTI NAGAR,SEVOKE ROAD ,S.M.C WARD NO 41, P. S.BHAKTINAGAR,SILIGURI GST NO ===19AADCH7949H1Z3",7427956196,,SILIGURI,,734001,WEST BENGAL,WAREHOUSE
SARTHAK S.R HHI SHOPPING CENTER,"RAVINDRA KUMAR S/O SAHENDRA SINGH,ADD: 87-C, HILL STREET ,MEERUT, UTTAR PRADESH",9410454912,,MEERUT,,250001,UTTAR PRADESH,DISTRICT
DEBANKUSH ENTERPRISE,"BAPI CHATTARAJ C/O VILL+PO-BIJPUR,JAMURIA,DIST-PASCHIM BURDWAN, WEST BENGAL--19AMDPC9856H1ZQ--",9681723952,,BURDWAN,,713358,WEST BENGAL,WAREHOUSE
RUPAM HERBAL INDIA,"KARUNA CHAKRABORTY W/O SHIBU CHAKRABORTY,DALURBAND 8NO, PO-PANDAVESWAR,DIST-BARDHAMAN,WEST BENGAL",9064794976,,BARDHAMAN,,713346,WEST BENGAL,DISTRICT
BISWAS ENTERPRISE,"KAJU BISWAS S/O JAYED ALI BISWAS, KENDUA CHAITA, NORTH 24 PARAGANAS, WEST BENGAL",7076769796,,24PGS,,743445,WEST BENGAL,DISTRICT
RC INNOVATIONS,"RATNI DEVI C/O 69/181, V.T. ROAD, MANSAROVER, JAIPUR, RAJASTHAN === GST NO === 08BZRPD6992B2ZZ",6378492616,,JAIPUR,,302020,RAJASTHAN,DISTRICT
S.A. ENTERPRISE,"ROPARI W/O ZOLIANA, F/D-40 A, WORLD BANK ROAD, NEAR BS FARM, FALKLAND, AIZWAL MUNICIPAL COUNCIL ,AIZWAL, MIZORAM=== GST === 15EHAPR2990M2ZS",7005593202,,AIZWAL-I,,796017,MIZORAM,DISTRICT
RAMAN ENTERPRISE,"PRAMOD DHAKAD S/O VARELAL DHAKAD , GRAMNEGMA, NEGAWAN, DIST- GUNA, MADHYA PRADESH",8959518507,,GUNA,,473001,MADHYA PRADESH,DISTRICT
SUSAMA HHI SHOPEE,"SURJYA NARAYANA MAHAPATRA S/O PARSHNA KUMAR MAHAPATRA, AT/PO- BALUGAON NEAR SBI ATM , NEW BUS STAND , DIST- KHURDA , ORISSA",9124106686,,KHURDA,,761045,ORISSA,DISTRICT
GHORKHA TIGERS,"KEDAR GHIMIRE C/O KHORIBARI , RANIGANJ , GP , GANDOGOLIJO TE, GANDAGAL , DARJEELING , WEST BENGAL",8972809562,,DARJEELING,,734429,WEST BENGAL,DISTRICT
MAHALAXMI ENTERPRISES,"NAVIN KUMAR SINGH C/O 166/2, JAGMANDER DAS ROAD, NEAR RAILWAY SATATION, BIJNORE== GST NO == 09ASJPS5966L1ZP",9627848403,,BIJNORE-I,,246701,UTTAR PRADESH,DISTRICT
MANORAMA ENTERPRISES,"GATI KARUSHNA PANDA S/O GANESH PRASAD PANDA, NACHHIBINDHA, BASUDEVPUR, BETRA, BHADRAK,",8658132731,,BHADRAK,,756168,ORISSA,DISTRICT
SUNIL KUMAR MISHRA,"PATNA TIGER C/O AT JKS/D ,-121 , OLD JAKKANPUR SHIVJEE NAGAR , PATNA",8651452365,,PATNA,,800001,BIHAR,DISTRICT
DHANLAXMI HHI DEPO,"MR R D DHUMAL C/O F224, SUPERMARKET, SECTOR 3, AIROLI NAVI MUMBAI, DIST THANE, MAHARASHTRA",9967657445,,MUMBAI,,400708,MAHARASHTRA,DISTRICT
RAMSWAROOP SUMAN,"RAMSWAROOP SUMAN C/O WARD NO. 15, TEJAJI KI BAWDI, RATODAN ROAD, SHEOPUR, BARODA, SHEOPUR, M.P.",8819927992,,SHEOPURKALAN,,476339,MADHYA PRADESH,DISTRICT
DHRUV ENTERPRISE,"UPENDRA KUMAR C/O AT FLAT NO. 481, BLOCK NO. 45, GUJARAT HOUSING BOARD, NEAR KSEZ, GANDHIDHAM, Kachchh, Gujaratt, --24BZZPK4802R1ZH---",9638944914,,GANDHI DHAM,,370201,GUJARAT,WAREHOUSE
ANAF ALL IN ONE,"MOHD SALMAN S/O RAHIM MOHD C/O HOUSE NO 407, PATHAN MOHALLA ANANTPURA, PHOOTA TALAB,KOTA, RAJASTHAN--08DWUPS6252M1ZE--",7374092613,,KOTA,,324005,RAJASTHAN,DISTRICT
LENKA ENTERPRISE,"PRADEEP KUMAR LENKA C/O AT+PO - NAYAGARH, ODISHA, === GST NO.=== 21AHAPL6717A1Z2",7978047176,,NAYAGARH,,752069,ORISSA,DISTRICT
JYOTI HERBAL STORES,"JYOTI HARICHAND BHOYAR C/OLAXMINAYARAN GOSAI BHENDARKAR,NAGPURA,MURRI,GONDIA",9049852577,,GONDIA,,441601,MAHARASHTRA,DISTRICT
NAGARMAL BAZAR,"NARESH AGARWAL C/O # 10 , EAST KHAN, PUKAR ROAD , CHAPDANI M , HOOGHLY ANGUS WEST BANGAL",8981282653,,HOOGHLY,,712221,WEST BENGAL,DISTRICT
SASMITA ENTERPRISES,"SURENDRA BEHERA C/O RAGHUNATH BEHERA AT : KUSUN NAGAR , BEHERA SAHI . KADABARANG PO: ANIJO BHADRAK",8658139183,,BHADRAK,,756115,ORISSA,DISTRICT
SANKAR MANDAL,"SANKAR MANDAL S/O NARAYAN CHANDRA MANDAL , VILL. PASCHIM BEGUNI, PO.- CHAKSHYAMPUR, DISTT. PASHIM MEDINIPUR",9382740214,,PASCHIM MEDINIPUR,,721124,WEST BENGAL,DISTRICT
DHANALAXMI AGENCY,"SHEKHAR R KATEKHAYE C/O AT RAJIV GHANDHI CHOWK, BHANDARA",8669160299,,BHANDARA,,441910,MAHARASHTRA,DISTRICT
MAHATO AYURVEDA HHI SHOPPY,KHAGENDRA NATH MAHATO C/O AT H No 13 New Development Area Masjid Road Near Canara Bank Golmuri Jamshedpur Dist East Singhbhum Jharkhand,9234200130,,JAMSHEDPUR,,831003,JHARKHAND,DISTRICT
PARVI HERBALS,"PANKAJ KESHAORAO BHANDARKAR, C/O KISHOR NIMGADE , VIDHNYAN NAGAR , MANEWADA, NAGPUR , MAHARASHTRA",9168720202,,NAGPUR,,440024,MAHARASHTRA,DISTRICT
S/F DIXIT ENTERPRISES,"BIBEKANANDA DIXIT S/O HIMANSHU DIXIT , JYOTSNA RANI , PANIGRAHI O T ROAD , IN FRONT OF IDBI BANK , BALASORE , ORISSA ===GST=== 21AKOPD8750E1ZC",9040560010,,BALASORE,,756001,ORISSA,DISTRICT
M/S CREATIVE ASSOCIATION,"BHOYAR DURGA KESHAOKUMAR C/O H NO.35.GANDHI CHOWK,SADAR BAZAR,NAGPUR,MAHARASHTRA",9766735942,,NAGPUR,,440001,MAHARASHTRA,DISTRICT
SHASHI KUMAR BHAGAT,"SHASHI KUMAR BHAGAT S/O KRISHNA DEV BHAGAT, SONAILI,PO-PAHALAGADH,PS-KADWA,DIST-KATIHAR, BIHAR",9939489568,,KATIHAR,,855114,BIHAR,DISTRICT
LALHLIMPUII,"LALHLIMPUII W/O PS LALREMRUATA, T-57, TAITESENA SEC NEAR ITI TRAINING INSTITUTE, ITI AIZAWL MIZORAM",9774375118,,AIZWAL-I,,796001,MIZORAM,DISTRICT
JAYA ENTERPRISES,"PAWAN KUMAR PRAJAPATI S/O BRAJ NARAYAN PRAJAPATI, GRAM LAGRAY KALA, TAGARIYA KALAN, KUMBHRAJ, GUNA MADHYA PRADESH",9685785453,,GUNA,,473222,MADHYA PRADESH,DISTRICT
NANDAN STORE,"MRINAL BARAI C/O VILL. MAHESH DANGA CAMP. 4 NO BAZAR PO- UTTARPAR, PS- MEMARI, DISTT. PURBA BURDWAN",9732366049,,BURDWAN,,713151,WEST BENGAL,DISTRICT
S/F SURAJ ENTERPRISES,"MANOJ KUMAR C/O AT MARANGA NAHAR,INDIAN READYMADE BIKASH BAZZAR NEAR BUS STAND DIST - PURNEA, BIHAR",7870687144,,PURNIA,,854301,BIHAR,DISTRICT
KANAK HHI DISTRIBUTER,SUBHASHIS SAHOO C/O AT: CHUNIDHIA POST OFFICE - BELTAL VIA :PATTAMUNDAI DIST KENDRAPARA GST NO ====21FWKPS6953K1ZU========,9439486450,,KENDRAPARA,,754215,ORISSA,DISTRICT
FIROZE ENTERPRISE,KH MD FIROZE AT Vill P.o. BANDPUR CHANDITALA HOOGHLY W.B,8918094799,,HOOGHLY,,712701,WEST BENGAL,DISTRICT
DP ENTERPRISES,"UDAYA CHAND BISWAL AT- MARSHAGHAI DIST- KENDRAPARA, ODISHA====21ALVPB2142C1ZR=====",9438235185,,KENDRAPARA,,754213,ORISSA,DISTRICT
SARVESHWAR TRADERS,"HEMANT BHATI S/O SHANKER SINGHBHATI, 1491/30 KRISHNA AASHISH, SHANKAR NAGAR, NAGARA, AJMER===GST NO===08ABIPB9409M2ZB",9829071816,,AJMER,,305001,RAJASTHAN,DISTRICT
MAA DURGA DEVI SHOPEE,"ANUPRAVA SWAIN AT-Giranga, Po- Marshaghai Dist- Kendrapara ORRISA",9937700543,,KENDRAPARA,,754213,ORISSA,DISTRICT
NEH ENTERPRISE,"PATEL NEHA MANISH KUMAR AT C 29, SAMAIBA BUNGLOW, 07 ROAD AHMADABAD GUJRAT=== GST NO === 24FUIPP1713C1ZY",9825044643,,AHMEDABAD LOCAL,,380058,GUJARAT,DISTRICT
VINOD KUMAR SHARMA,VINOD KUMAR SHARMA C/O KAILASH CHAND SHARMA 161 NEAR CHHATARIYA BUS STAND KE PICHHE,9887099741,,JAIPUR,,303802,RAJASTHAN,DISTRICT
K&K ENTERPRISE,"KRISHNA BAHADUR CHETTRI S/O KUL BAHADUR CHETTRI AT MIDDLE KOLTHANG PW, NEAR LINGMOO OUT POST LINGMO KOLTHANG GPU, KOLTHANG SIKKIM",6294330481,,SINGHWARA,,737134,SIKKIM,DISTRICT
KANJI SERVICES,"ANAND KUMAR S/O KANA RAM, ANAND BHAWAN, STREET DURGA MANDIR KE SAMANE, BUS DEPO KE PAS RAJASTHAN",9887553221,,SIKAR,,332001,RAJASTHAN,DISTRICT
ALLAHABAD HEALTH CARE CENTRE,"FARAN HUSSAIN C/O 37E/12P/1K , KARELI,V.I.P COLONY , GHOUSE NAGAR, GTB NAGAR , ALLAHABAD, U.P.",7084889653,,ALLAHABAD,,211016,UTTAR PRADESH,DISTRICT
MANISHA SAMAL,"SREE GANESH ENTERPRISE C/O AT- CHANDAN PADIA, NAUPATNA, MANGALABAG, DIST- CUTTACK, ODISHA",9178501897,,CUTTACK,,753001,ORISSA,DISTRICT
